session_id,step_id,step_name,bank_name,created_at,updated_at,load_created_at
14,39,INITIATED_LIGHTBOX,,2024-11-27 19:23:57,2024-11-27 19:28:57,2024-11-27 19:29:57
14,40,SELECT_BANK,,2024-11-27 19:27:57,2024-11-27 19:31:57,2024-11-27 19:32:57
14,41,LOGIN_ATTEMPT,Bank of America,2024-11-27 19:29:57,2024-11-27 19:31:57,2024-11-27 19:32:57
14,42,AUTHORIZATION,Bank of America,2024-11-27 19:33:57,2024-11-27 19:35:57,2024-11-27 19:36:57
15,43,INITIATED_LIGHTBOX,,2024-03-29 10:03:25,2024-03-29 10:05:25,2024-03-29 10:06:25
15,44,SELECT_BANK,,2024-03-29 10:06:25,2024-03-29 10:09:25,2024-03-29 10:10:25
15,45,LOGIN_ATTEMPT,BNP Paribas,2024-03-29 10:10:25,2024-03-29 10:12:25,2024-03-29 10:13:25
15,46,AUTHORIZATION,BNP Paribas,2024-03-29 10:11:25,2024-03-29 10:14:25,2024-03-29 10:15:25
16,47,INITIATED_LIGHTBOX,,2023-03-16 04:25:13,2023-03-16 04:27:13,2023-03-16 04:28:13
16,48,SELECT_BANK,,2023-03-16 04:30:13,2023-03-16 04:32:13,2023-03-16 04:33:13
16,49,LOGIN_ATTEMPT,Deutsche Bank,2023-03-16 04:31:13,2023-03-16 04:36:13,2023-03-16 04:37:13
16,50,AUTHORIZATION,Deutsche Bank,2023-03-16 04:35:13,2023-03-16 04:36:13,2023-03-16 04:37:13
17,51,INITIATED_LIGHTBOX,,2024-07-09 12:51:48,2024-07-09 12:53:48,2024-07-09 12:54:48
17,52,SELECT_BANK,,2024-07-09 12:53:48,2024-07-09 12:56:48,2024-07-09 12:57:48
17,53,LOGIN_ATTEMPT,Barclays,2024-07-09 12:57:48,2024-07-09 13:02:48,2024-07-09 13:03:48
18,54,INITIATED_LIGHTBOX,,2024-01-13 06:34:01,2024-01-13 06:36:01,2024-01-13 06:37:01
18,55,SELECT_BANK,,2024-01-13 06:35:01,2024-01-13 06:37:01,2024-01-13 06:38:01
18,56,LOGIN_ATTEMPT,Deutsche Bank,2024-01-13 06:38:01,2024-01-13 06:41:01,2024-01-13 06:42:01
18,57,AUTHORIZATION,Deutsche Bank,2024-01-13 06:42:01,2024-01-13 06:45:01,2024-01-13 06:46:01
19,58,INITIATED_LIGHTBOX,,2024-02-27 02:22:09,2024-02-27 02:24:09,2024-02-27 02:25:09
19,59,SELECT_BANK,,2024-02-27 02:25:09,2024-02-27 02:29:09,2024-02-27 02:30:09
19,60,LOGIN_ATTEMPT,BNP Paribas,2024-02-27 02:26:09,2024-02-27 02:28:09,2024-02-27 02:29:09
19,61,AUTHORIZATION,BNP Paribas,2024-02-27 02:31:09,2024-02-27 02:34:09,2024-02-27 02:35:09
20,62,INITIATED_LIGHTBOX,,2024-11-13 07:07:19,2024-11-13 07:12:19,2024-11-13 07:13:19
20,63,SELECT_BANK,,2024-11-13 07:11:19,2024-11-13 07:14:19,2024-11-13 07:15:19
20,64,LOGIN_ATTEMPT,BNP Paribas,2024-11-13 07:13:19,2024-11-13 07:18:19,2024-11-13 07:19:19
20,65,AUTHORIZATION,BNP Paribas,2024-11-13 07:16:19,2024-11-13 07:17:19,2024-11-13 07:18:19
21,66,INITIATED_LIGHTBOX,,2024-02-21 00:28:11,2024-02-21 00:31:11,2024-02-21 00:32:11
21,67,SELECT_BANK,,2024-02-21 00:32:11,2024-02-21 00:35:11,2024-02-21 00:36:11
21,68,LOGIN_ATTEMPT,Deutsche Bank,2024-02-21 00:33:11,2024-02-21 00:38:11,2024-02-21 00:39:11
21,69,AUTHORIZATION,Deutsche Bank,2024-02-21 00:36:11,2024-02-21 00:41:11,2024-02-21 00:42:11
22,70,INITIATED_LIGHTBOX,,2024-06-05 10:14:56,2024-06-05 10:16:56,2024-06-05 10:17:56
22,71,SELECT_BANK,,2024-06-05 10:18:56,2024-06-05 10:19:56,2024-06-05 10:20:56
22,72,LOGIN_ATTEMPT,BNP Paribas,2024-06-05 10:23:56,2024-06-05 10:25:56,2024-06-05 10:26:56
22,73,AUTHORIZATION,BNP Paribas,2024-06-05 10:24:56,2024-06-05 10:28:56,2024-06-05 10:29:56
23,74,INITIATED_LIGHTBOX,,2023-10-07 03:10:17,2023-10-07 03:15:17,2023-10-07 03:16:17
24,75,INITIATED_LIGHTBOX,,2024-06-26 18:35:38,2024-06-26 18:37:38,2024-06-26 18:38:38
24,76,SELECT_BANK,,2024-06-26 18:38:38,2024-06-26 18:41:38,2024-06-26 18:42:38
24,77,LOGIN_ATTEMPT,Deutsche Bank,2024-06-26 18:43:38,2024-06-26 18:46:38,2024-06-26 18:47:38
24,78,AUTHORIZATION,Deutsche Bank,2024-06-26 18:46:38,2024-06-26 18:49:38,2024-06-26 18:50:38
25,79,INITIATED_LIGHTBOX,,2023-08-09 07:35:52,2023-08-09 07:39:52,2023-08-09 07:40:52
25,80,SELECT_BANK,,2023-08-09 07:39:52,2023-08-09 07:43:52,2023-08-09 07:44:52
25,81,LOGIN_ATTEMPT,Barclays,2023-08-09 07:42:52,2023-08-09 07:47:52,2023-08-09 07:48:52
25,82,AUTHORIZATION,Barclays,2023-08-09 07:47:52,2023-08-09 07:48:52,2023-08-09 07:49:52
26,83,INITIATED_LIGHTBOX,,2024-04-27 15:20:11,2024-04-27 15:22:11,2024-04-27 15:23:11
26,84,SELECT_BANK,,2024-04-27 15:21:11,2024-04-27 15:24:11,2024-04-27 15:25:11
26,85,LOGIN_ATTEMPT,HSBC,2024-04-27 15:25:11,2024-04-27 15:28:11,2024-04-27 15:29:11
26,86,AUTHORIZATION,HSBC,2024-04-27 15:28:11,2024-04-27 15:31:11,2024-04-27 15:32:11
29,87,INITIATED_LIGHTBOX,,2023-09-28 17:12:09,2023-09-28 17:14:09,2023-09-28 17:15:09
30,88,INITIATED_LIGHTBOX,,2024-06-11 21:36:50,2024-06-11 21:38:50,2024-06-11 21:39:50
30,89,SELECT_BANK,,2024-06-11 21:39:50,2024-06-11 21:44:50,2024-06-11 21:45:50
30,90,LOGIN_ATTEMPT,BNP Paribas,2024-06-11 21:41:50,2024-06-11 21:45:50,2024-06-11 21:46:50
30,91,AUTHORIZATION,BNP Paribas,2024-06-11 21:42:50,2024-06-11 21:47:50,2024-06-11 21:48:50
31,92,INITIATED_LIGHTBOX,,2023-10-12 10:15:11,2023-10-12 10:20:11,2023-10-12 10:21:11
31,93,SELECT_BANK,,2023-10-12 10:16:11,2023-10-12 10:19:11,2023-10-12 10:20:11
31,94,LOGIN_ATTEMPT,Bank of America,2023-10-12 10:21:11,2023-10-12 10:25:11,2023-10-12 10:26:11
31,95,AUTHORIZATION,Bank of America,2023-10-12 10:24:11,2023-10-12 10:27:11,2023-10-12 10:28:11
32,96,INITIATED_LIGHTBOX,,2024-08-02 07:49:16,2024-08-02 07:54:16,2024-08-02 07:55:16
33,97,INITIATED_LIGHTBOX,,2024-06-04 21:30:11,2024-06-04 21:34:11,2024-06-04 21:35:11
33,98,SELECT_BANK,,2024-06-04 21:33:11,2024-06-04 21:36:11,2024-06-04 21:37:11
33,99,LOGIN_ATTEMPT,BNP Paribas,2024-06-04 21:38:11,2024-06-04 21:41:11,2024-06-04 21:42:11
33,100,AUTHORIZATION,BNP Paribas,2024-06-04 21:39:11,2024-06-04 21:42:11,2024-06-04 21:43:11
34,101,INITIATED_LIGHTBOX,,2024-04-11 04:07:42,2024-04-11 04:11:42,2024-04-11 04:12:42
34,102,SELECT_BANK,,2024-04-11 04:10:42,2024-04-11 04:15:42,2024-04-11 04:16:42
34,103,LOGIN_ATTEMPT,Deutsche Bank,2024-04-11 04:13:42,2024-04-11 04:15:42,2024-04-11 04:16:42
35,104,INITIATED_LIGHTBOX,,2023-09-04 14:15:01,2023-09-04 14:17:01,2023-09-04 14:18:01
35,105,SELECT_BANK,,2023-09-04 14:17:01,2023-09-04 14:22:01,2023-09-04 14:23:01
35,106,LOGIN_ATTEMPT,HSBC,2023-09-04 14:21:01,2023-09-04 14:26:01,2023-09-04 14:27:01
35,107,AUTHORIZATION,HSBC,2023-09-04 14:23:01,2023-09-04 14:25:01,2023-09-04 14:26:01
36,108,INITIATED_LIGHTBOX,,2023-08-15 22:18:09,2023-08-15 22:20:09,2023-08-15 22:21:09
36,109,SELECT_BANK,,2023-08-15 22:23:09,2023-08-15 22:24:09,2023-08-15 22:25:09
37,110,INITIATED_LIGHTBOX,,2023-09-21 07:59:54,2023-09-21 08:01:54,2023-09-21 08:02:54
37,111,SELECT_BANK,,2023-09-21 08:04:54,2023-09-21 08:05:54,2023-09-21 08:06:54
37,112,LOGIN_ATTEMPT,Bank of America,2023-09-21 08:09:54,2023-09-21 08:14:54,2023-09-21 08:15:54
37,113,AUTHORIZATION,Bank of America,2023-09-21 08:10:54,2023-09-21 08:11:54,2023-09-21 08:12:54
38,114,INITIATED_LIGHTBOX,,2024-03-31 12:14:51,2024-03-31 12:15:51,2024-03-31 12:16:51
38,115,SELECT_BANK,,2024-03-31 12:16:51,2024-03-31 12:21:51,2024-03-31 12:22:51
38,116,LOGIN_ATTEMPT,BNP Paribas,2024-03-31 12:17:51,2024-03-31 12:22:51,2024-03-31 12:23:51
38,117,AUTHORIZATION,BNP Paribas,2024-03-31 12:19:51,2024-03-31 12:23:51,2024-03-31 12:24:51
39,118,INITIATED_LIGHTBOX,,2024-07-24 08:10:10,2024-07-24 08:15:10,2024-07-24 08:16:10
39,119,SELECT_BANK,,2024-07-24 08:12:10,2024-07-24 08:13:10,2024-07-24 08:14:10
39,120,LOGIN_ATTEMPT,Bank of America,2024-07-24 08:17:10,2024-07-24 08:19:10,2024-07-24 08:20:10
39,121,AUTHORIZATION,Bank of America,2024-07-24 08:21:10,2024-07-24 08:22:10,2024-07-24 08:23:10
40,122,INITIATED_LIGHTBOX,,2024-03-22 20:52:41,2024-03-22 20:54:41,2024-03-22 20:55:41
40,123,SELECT_BANK,,2024-03-22 20:55:41,2024-03-22 20:58:41,2024-03-22 20:59:41
40,124,LOGIN_ATTEMPT,BNP Paribas,2024-03-22 20:58:41,2024-03-22 21:01:41,2024-03-22 21:02:41
40,125,AUTHORIZATION,BNP Paribas,2024-03-22 21:02:41,2024-03-22 21:03:41,2024-03-22 21:04:41
42,126,INITIATED_LIGHTBOX,,2023-11-18 23:55:59,2023-11-18 23:57:59,2023-11-18 23:58:59
42,127,SELECT_BANK,,2023-11-19 00:00:59,2023-11-19 00:05:59,2023-11-19 00:06:59
42,128,LOGIN_ATTEMPT,Barclays,2023-11-19 00:02:59,2023-11-19 00:06:59,2023-11-19 00:07:59
42,129,AUTHORIZATION,Barclays,2023-11-19 00:04:59,2023-11-19 00:06:59,2023-11-19 00:07:59
43,130,INITIATED_LIGHTBOX,,2023-12-23 06:14:15,2023-12-23 06:17:15,2023-12-23 06:18:15
43,131,SELECT_BANK,,2023-12-23 06:19:15,2023-12-23 06:20:15,2023-12-23 06:21:15
43,132,LOGIN_ATTEMPT,Deutsche Bank,2023-12-23 06:24:15,2023-12-23 06:25:15,2023-12-23 06:26:15
43,133,AUTHORIZATION,Deutsche Bank,2023-12-23 06:27:15,2023-12-23 06:29:15,2023-12-23 06:30:15
44,134,INITIATED_LIGHTBOX,,2023-07-09 18:10:58,2023-07-09 18:14:58,2023-07-09 18:15:58
44,135,SELECT_BANK,,2023-07-09 18:14:58,2023-07-09 18:16:58,2023-07-09 18:17:58
44,136,LOGIN_ATTEMPT,Deutsche Bank,2023-07-09 18:15:58,2023-07-09 18:17:58,2023-07-09 18:18:58
44,137,AUTHORIZATION,Deutsche Bank,2023-07-09 18:16:58,2023-07-09 18:17:58,2023-07-09 18:18:58
45,138,INITIATED_LIGHTBOX,,2023-11-23 09:57:45,2023-11-23 10:01:45,2023-11-23 10:02:45
45,139,SELECT_BANK,,2023-11-23 09:58:45,2023-11-23 10:03:45,2023-11-23 10:04:45
45,140,LOGIN_ATTEMPT,Barclays,2023-11-23 10:00:45,2023-11-23 10:01:45,2023-11-23 10:02:45
45,141,AUTHORIZATION,Barclays,2023-11-23 10:02:45,2023-11-23 10:04:45,2023-11-23 10:05:45
46,142,INITIATED_LIGHTBOX,,2024-11-20 06:58:08,2024-11-20 06:59:08,2024-11-20 07:00:08
46,143,SELECT_BANK,,2024-11-20 07:02:08,2024-11-20 07:07:08,2024-11-20 07:08:08
46,144,LOGIN_ATTEMPT,Barclays,2024-11-20 07:06:08,2024-11-20 07:11:08,2024-11-20 07:12:08
46,145,AUTHORIZATION,Barclays,2024-11-20 07:07:08,2024-11-20 07:11:08,2024-11-20 07:12:08
47,146,INITIATED_LIGHTBOX,,2023-10-10 10:15:58,2023-10-10 10:19:58,2023-10-10 10:20:58
47,147,SELECT_BANK,,2023-10-10 10:16:58,2023-10-10 10:17:58,2023-10-10 10:18:58
47,148,LOGIN_ATTEMPT,Barclays,2023-10-10 10:18:58,2023-10-10 10:19:58,2023-10-10 10:20:58
47,149,AUTHORIZATION,Barclays,2023-10-10 10:21:58,2023-10-10 10:22:58,2023-10-10 10:23:58
48,150,INITIATED_LIGHTBOX,,2023-10-18 17:02:40,2023-10-18 17:07:40,2023-10-18 17:08:40
48,151,SELECT_BANK,,2023-10-18 17:03:40,2023-10-18 17:07:40,2023-10-18 17:08:40
48,152,LOGIN_ATTEMPT,BNP Paribas,2023-10-18 17:07:40,2023-10-18 17:10:40,2023-10-18 17:11:40
48,153,AUTHORIZATION,BNP Paribas,2023-10-18 17:10:40,2023-10-18 17:15:40,2023-10-18 17:16:40
49,154,INITIATED_LIGHTBOX,,2024-09-23 21:05:44,2024-09-23 21:06:44,2024-09-23 21:07:44
49,155,SELECT_BANK,,2024-09-23 21:06:44,2024-09-23 21:08:44,2024-09-23 21:09:44
49,156,LOGIN_ATTEMPT,BNP Paribas,2024-09-23 21:11:44,2024-09-23 21:15:44,2024-09-23 21:16:44
49,157,AUTHORIZATION,BNP Paribas,2024-09-23 21:16:44,2024-09-23 21:20:44,2024-09-23 21:21:44
50,158,INITIATED_LIGHTBOX,,2024-01-20 08:55:32,2024-01-20 08:58:32,2024-01-20 08:59:32
50,159,SELECT_BANK,,2024-01-20 08:58:32,2024-01-20 09:03:32,2024-01-20 09:04:32
50,160,LOGIN_ATTEMPT,Barclays,2024-01-20 09:00:32,2024-01-20 09:05:32,2024-01-20 09:06:32
50,161,AUTHORIZATION,Barclays,2024-01-20 09:05:32,2024-01-20 09:10:32,2024-01-20 09:11:32
51,162,INITIATED_LIGHTBOX,,2024-03-24 00:31:38,2024-03-24 00:34:38,2024-03-24 00:35:38
51,163,SELECT_BANK,,2024-03-24 00:36:38,2024-03-24 00:40:38,2024-03-24 00:41:38
51,164,LOGIN_ATTEMPT,Deutsche Bank,2024-03-24 00:40:38,2024-03-24 00:43:38,2024-03-24 00:44:38
51,165,AUTHORIZATION,Deutsche Bank,2024-03-24 00:43:38,2024-03-24 00:45:38,2024-03-24 00:46:38
52,166,INITIATED_LIGHTBOX,,2024-04-21 16:26:55,2024-04-21 16:30:55,2024-04-21 16:31:55
52,167,SELECT_BANK,,2024-04-21 16:28:55,2024-04-21 16:33:55,2024-04-21 16:34:55
52,168,LOGIN_ATTEMPT,Barclays,2024-04-21 16:31:55,2024-04-21 16:34:55,2024-04-21 16:35:55
52,169,AUTHORIZATION,Barclays,2024-04-21 16:32:55,2024-04-21 16:37:55,2024-04-21 16:38:55
53,170,INITIATED_LIGHTBOX,,2023-12-08 16:13:54,2023-12-08 16:15:54,2023-12-08 16:16:54
53,171,SELECT_BANK,,2023-12-08 16:17:54,2023-12-08 16:19:54,2023-12-08 16:20:54
53,172,LOGIN_ATTEMPT,Deutsche Bank,2023-12-08 16:19:54,2023-12-08 16:22:54,2023-12-08 16:23:54
53,173,AUTHORIZATION,Deutsche Bank,2023-12-08 16:21:54,2023-12-08 16:22:54,2023-12-08 16:23:54
54,174,INITIATED_LIGHTBOX,,2023-05-10 16:41:25,2023-05-10 16:43:25,2023-05-10 16:44:25
54,175,SELECT_BANK,,2023-05-10 16:44:25,2023-05-10 16:46:25,2023-05-10 16:47:25
54,176,LOGIN_ATTEMPT,Bank of America,2023-05-10 16:47:25,2023-05-10 16:48:25,2023-05-10 16:49:25
54,177,AUTHORIZATION,Bank of America,2023-05-10 16:50:25,2023-05-10 16:52:25,2023-05-10 16:53:25
55,178,INITIATED_LIGHTBOX,,2023-10-13 14:58:23,2023-10-13 14:59:23,2023-10-13 15:00:23
55,179,SELECT_BANK,,2023-10-13 15:01:23,2023-10-13 15:06:23,2023-10-13 15:07:23
55,180,LOGIN_ATTEMPT,BNP Paribas,2023-10-13 15:03:23,2023-10-13 15:04:23,2023-10-13 15:05:23
55,181,AUTHORIZATION,BNP Paribas,2023-10-13 15:07:23,2023-10-13 15:10:23,2023-10-13 15:11:23
56,182,INITIATED_LIGHTBOX,,2024-07-15 07:47:12,2024-07-15 07:48:12,2024-07-15 07:49:12
56,183,SELECT_BANK,,2024-07-15 07:49:12,2024-07-15 07:50:12,2024-07-15 07:51:12
57,184,INITIATED_LIGHTBOX,,2023-10-17 08:24:34,2023-10-17 08:29:34,2023-10-17 08:30:34
57,185,SELECT_BANK,,2023-10-17 08:28:34,2023-10-17 08:29:34,2023-10-17 08:30:34
57,186,LOGIN_ATTEMPT,BNP Paribas,2023-10-17 08:30:34,2023-10-17 08:34:34,2023-10-17 08:35:34
57,187,AUTHORIZATION,BNP Paribas,2023-10-17 08:34:34,2023-10-17 08:38:34,2023-10-17 08:39:34
58,188,INITIATED_LIGHTBOX,,2023-08-18 13:35:18,2023-08-18 13:39:18,2023-08-18 13:40:18
58,189,SELECT_BANK,,2023-08-18 13:38:18,2023-08-18 13:42:18,2023-08-18 13:43:18
58,190,LOGIN_ATTEMPT,Bank of America,2023-08-18 13:41:18,2023-08-18 13:42:18,2023-08-18 13:43:18
58,191,AUTHORIZATION,Bank of America,2023-08-18 13:46:18,2023-08-18 13:48:18,2023-08-18 13:49:18
59,192,INITIATED_LIGHTBOX,,2023-07-19 18:16:27,2023-07-19 18:19:27,2023-07-19 18:20:27
59,193,SELECT_BANK,,2023-07-19 18:19:27,2023-07-19 18:22:27,2023-07-19 18:23:27
59,194,LOGIN_ATTEMPT,BNP Paribas,2023-07-19 18:22:27,2023-07-19 18:24:27,2023-07-19 18:25:27
59,195,AUTHORIZATION,BNP Paribas,2023-07-19 18:26:27,2023-07-19 18:30:27,2023-07-19 18:31:27
60,196,INITIATED_LIGHTBOX,,2023-07-02 12:19:27,2023-07-02 12:24:27,2023-07-02 12:25:27
60,197,SELECT_BANK,,2023-07-02 12:22:27,2023-07-02 12:26:27,2023-07-02 12:27:27
60,198,LOGIN_ATTEMPT,HSBC,2023-07-02 12:24:27,2023-07-02 12:25:27,2023-07-02 12:26:27
61,199,INITIATED_LIGHTBOX,,2024-07-18 22:20:33,2024-07-18 22:25:33,2024-07-18 22:26:33
62,200,INITIATED_LIGHTBOX,,2024-05-13 14:06:14,2024-05-13 14:08:14,2024-05-13 14:09:14
62,201,SELECT_BANK,,2024-05-13 14:10:14,2024-05-13 14:13:14,2024-05-13 14:14:14
62,202,LOGIN_ATTEMPT,Deutsche Bank,2024-05-13 14:14:14,2024-05-13 14:17:14,2024-05-13 14:18:14
62,203,AUTHORIZATION,Deutsche Bank,2024-05-13 14:15:14,2024-05-13 14:19:14,2024-05-13 14:20:14
63,204,INITIATED_LIGHTBOX,,2024-02-08 17:44:36,2024-02-08 17:45:36,2024-02-08 17:46:36
63,205,SELECT_BANK,,2024-02-08 17:47:36,2024-02-08 17:49:36,2024-02-08 17:50:36
63,206,LOGIN_ATTEMPT,Bank of America,2024-02-08 17:51:36,2024-02-08 17:56:36,2024-02-08 17:57:36
63,207,AUTHORIZATION,Bank of America,2024-02-08 17:56:36,2024-02-08 18:01:36,2024-02-08 18:02:36
64,208,INITIATED_LIGHTBOX,,2023-09-02 05:33:27,2023-09-02 05:37:27,2023-09-02 05:38:27
64,209,SELECT_BANK,,2023-09-02 05:34:27,2023-09-02 05:36:27,2023-09-02 05:37:27
65,210,INITIATED_LIGHTBOX,,2024-03-21 19:14:16,2024-03-21 19:18:16,2024-03-21 19:19:16
65,211,SELECT_BANK,,2024-03-21 19:19:16,2024-03-21 19:22:16,2024-03-21 19:23:16
65,212,LOGIN_ATTEMPT,BNP Paribas,2024-03-21 19:23:16,2024-03-21 19:25:16,2024-03-21 19:26:16
65,213,AUTHORIZATION,BNP Paribas,2024-03-21 19:27:16,2024-03-21 19:32:16,2024-03-21 19:33:16
67,214,INITIATED_LIGHTBOX,,2023-09-07 17:34:45,2023-09-07 17:38:45,2023-09-07 17:39:45
67,215,SELECT_BANK,,2023-09-07 17:39:45,2023-09-07 17:44:45,2023-09-07 17:45:45
67,216,LOGIN_ATTEMPT,Barclays,2023-09-07 17:42:45,2023-09-07 17:47:45,2023-09-07 17:48:45
67,217,AUTHORIZATION,Barclays,2023-09-07 17:46:45,2023-09-07 17:47:45,2023-09-07 17:48:45
68,218,INITIATED_LIGHTBOX,,2023-10-31 14:39:39,2023-10-31 14:42:39,2023-10-31 14:43:39
68,219,SELECT_BANK,,2023-10-31 14:44:39,2023-10-31 14:46:39,2023-10-31 14:47:39
69,220,INITIATED_LIGHTBOX,,2024-05-03 05:28:11,2024-05-03 05:29:11,2024-05-03 05:30:11
69,221,SELECT_BANK,,2024-05-03 05:30:11,2024-05-03 05:34:11,2024-05-03 05:35:11
69,222,LOGIN_ATTEMPT,HSBC,2024-05-03 05:32:11,2024-05-03 05:36:11,2024-05-03 05:37:11
70,223,INITIATED_LIGHTBOX,,2023-08-10 23:48:22,2023-08-10 23:53:22,2023-08-10 23:54:22
70,224,SELECT_BANK,,2023-08-10 23:49:22,2023-08-10 23:52:22,2023-08-10 23:53:22
70,225,LOGIN_ATTEMPT,Bank of America,2023-08-10 23:54:22,2023-08-10 23:57:22,2023-08-10 23:58:22
70,226,AUTHORIZATION,Bank of America,2023-08-10 23:58:22,2023-08-11 00:01:22,2023-08-11 00:02:22
73,227,INITIATED_LIGHTBOX,,2024-01-06 05:27:28,2024-01-06 05:30:28,2024-01-06 05:31:28
73,228,SELECT_BANK,,2024-01-06 05:31:28,2024-01-06 05:35:28,2024-01-06 05:36:28
73,229,LOGIN_ATTEMPT,Deutsche Bank,2024-01-06 05:34:28,2024-01-06 05:36:28,2024-01-06 05:37:28
73,230,AUTHORIZATION,Deutsche Bank,2024-01-06 05:39:28,2024-01-06 05:43:28,2024-01-06 05:44:28
74,231,INITIATED_LIGHTBOX,,2024-02-06 07:53:15,2024-02-06 07:55:15,2024-02-06 07:56:15
74,232,SELECT_BANK,,2024-02-06 07:54:15,2024-02-06 07:58:15,2024-02-06 07:59:15
74,233,LOGIN_ATTEMPT,Barclays,2024-02-06 07:57:15,2024-02-06 07:58:15,2024-02-06 07:59:15
74,234,AUTHORIZATION,Barclays,2024-02-06 07:59:15,2024-02-06 08:00:15,2024-02-06 08:01:15
75,235,INITIATED_LIGHTBOX,,2024-05-04 08:44:53,2024-05-04 08:45:53,2024-05-04 08:46:53
75,236,SELECT_BANK,,2024-05-04 08:49:53,2024-05-04 08:53:53,2024-05-04 08:54:53
